   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.30000  0.00000000000E+00   1.02960   3.52355  11.83379 -30.00000   0.00000   0.00000  5.83980E-01  3.55970E-01  1.07900E-02  2.64000E-02     0.00000     0.00000     0.00000     0.00000     0.99640  5.84000E-01  3.56000E-01  1.07900E-02  2.91100E-03  2.64000E-02   1.0000000000
        2    0.30000  3.54290000000E-05   1.02960   3.52355  11.83379 -30.00000   0.00000   0.00000  5.83980E-01  3.55970E-01  1.07900E-02  2.64000E-02     0.00000     0.00000     0.00000     0.00000     0.99640  5.84000E-01  3.56000E-01  1.07900E-02  2.91100E-03  2.64000E-02   1.0000000000
        3    0.30000  7.50400000000E-05   1.02960   3.52355  11.83379 -30.00000   0.00000   0.00000  5.83980E-01  3.55970E-01  1.07900E-02  2.64000E-02     0.00000     0.00000     0.00000     0.00000     0.99641  5.84000E-01  3.56000E-01  1.07900E-02  2.91100E-03  2.64000E-02   1.0000000000
        4    0.30000  1.19326000000E-04   1.02960   3.52355  11.83379 -30.00000   0.00000   0.00000  5.83980E-01  3.55970E-01  1.07900E-02  2.64000E-02     0.00000     0.00000     0.00000     0.00000     0.99641  5.84000E-01  3.56000E-01  1.07900E-02  2.91100E-03  2.64000E-02   1.0000000000
        5    0.30000  1.68840000000E-04   1.02960   3.52355  11.83379 -30.00000   0.00000   0.00000  5.83980E-01  3.55970E-01  1.07900E-02  2.64000E-02     0.00000     0.00000     0.00000     0.00000     0.99641  5.84000E-01  3.56000E-01  1.07900E-02  2.91100E-03  2.64000E-02   1.0000000000
        6    0.30000  2.24198000000E-04   1.02960   3.52355  11.83379 -30.00000   0.00000   0.00000  5.83980E-01  3.55970E-01  1.07900E-02  2.64000E-02     0.00000     0.00000     0.00000     0.00000     0.99641  5.84000E-01  3.56000E-01  1.07900E-02  2.91100E-03  2.64000E-02   1.0000000000
        7    0.30000  2.86090000000E-04   1.02960   3.52355  11.83379 -30.00000   0.00000   0.00000  5.83980E-01  3.55970E-01  1.07900E-02  2.64000E-02     0.00000     0.00000     0.00000     0.00000     0.99641  5.84000E-01  3.56000E-01  1.07900E-02  2.91100E-03  2.64000E-02   1.0000000000
        8    0.30000  3.55287000000E-04   1.02960   3.52355  11.83379 -30.00000   0.00000   0.00000  5.83980E-01  3.55970E-01  1.07900E-02  2.64000E-02     0.00000     0.00000     0.00000     0.00000     0.99641  5.84000E-01  3.56000E-01  1.07900E-02  2.91100E-03  2.64000E-02   1.0000000000
        9    0.30000  4.32652000000E-04   1.02960   3.52355  11.83379 -30.00000   0.00000   0.00000  5.83980E-01  3.55970E-01  1.07900E-02  2.64000E-02     0.00000     0.00000     0.00000     0.00000     0.99641  5.84000E-01  3.56000E-01  1.07900E-02  2.91100E-03  2.64000E-02   1.0000000000
       10    0.30000  5.19149000000E-04   1.02960   3.52355  11.83379 -30.00000   0.00000   0.00000  5.83980E-01  3.55970E-01  1.07900E-02  2.64000E-02     0.00000     0.00000     0.00000     0.00000     0.99641  5.84000E-01  3.56000E-01  1.07900E-02  2.91100E-03  2.64000E-02   1.0000000000
